iter	Logloss
259	0.08253982795
260	0.08222058036
261	0.08187458847
262	0.08167462577
263	0.08151270839
264	0.08135385263
265	0.08092499029
266	0.08067291943
267	0.0802424761
268	0.08001620895
269	0.07981648616
270	0.07954698559
271	0.07904600374
272	0.07868634685
273	0.07827330199
274	0.07800858216
275	0.07780965149
276	0.07754174706
277	0.07731884207
278	0.07711612572
279	0.07687405429
280	0.07649403897
281	0.07621111646
282	0.07568698348
283	0.07546132234
284	0.07525026455
285	0.07508107204
286	0.07482046717
287	0.07437650951
288	0.07404935212
289	0.07377462592
290	0.0735523041
291	0.07337750829
292	0.07312829601
293	0.07281748593
294	0.07263794152
295	0.07237268905
296	0.07218990456
297	0.0718507472
298	0.0717153946
299	0.07147550426
300	0.07112010258
301	0.07088525397
302	0.07069286497
303	0.07050560986
304	0.070341456
305	0.0700875877
306	0.06987336486
307	0.06973608477
308	0.06963764519
309	0.06949104646
310	0.06930572075
311	0.06907412938
312	0.0687732925
313	0.06850917984
314	0.06830765454
315	0.06792300509

456547
314	0.05331751876
315	0.05314904573
3373769
310	0.0174803204
311	0.01744508678
312	0.01737060755
313	0.01737048907
314	0.01737048631
315	0.01737049231
